iter,time,reward,steps,convergence,policy
177,0.836922,75,27,1.740875799,
178,0.62833,88,14,2.016348105,
179,0.81249,89,13,2.026967541,
180,0.388011,84,18,2.385786361,
181,0.390928,76,26,2.613720938,
182,0.266211,82,20,2.600540866,
183,0.223179,84,18,2.703863835,
184,0.638176,88,14,2.713939274,
185,0.64474,86,16,3.075485531,
186,0.319453,-21,25,2.973804461,
187,0.542997,86,16,2.630260619,
188,0.708922,86,16,2.375753491,
189,0.2498,82,20,2.414447789,
190,0.210416,77,25,2.013305267,
191,0.650211,83,19,2.005887665,
192,0.552113,85,17,2.026057726,
193,0.735908,90,12,2.325290391,
194,0.730438,91,11,2.60993937,
195,0.175043,91,11,2.106302528,
196,0.268034,85,17,1.814671212,
197,0.279339,77,25,1.771119741,
198,0.364308,81,21,2.00194424,
199,0.553208,82,20,2.401764114,
200,2.302904,89,13,2.802034814,
201,0.280433,81,21,2.55003352,
202,0.231202,78,24,2.578689528,
203,0.862084,81,21,2.410904518,
204,0.829264,88,14,2.489658887,
205,0.868648,87,15,2.455768712,
206,0.219897,91,11,2.385946682,
207,0.644741,83,19,2.390898779,
208,0.293196,81,21,2.175262748,
209,0.511999,89,13,1.799166046,
210,0.16082,87,15,1.375590324,
211,0.434324,85,17,1.768660029,
212,0.662245,89,13,2.069709183,
213,0.417914,85,17,1.810960329,
214,0.763623,87,15,1.490361127,
215,0.273869,88,14,1.804209072,
216,0.385823,89,13,1.829073564,
217,0.370142,90,12,2.285172641,
218,0.185983,79,23,2.631428267,
219,0.1889,85,17,2.690614414,
220,0.813218,85,17,2.805728863,
221,0.206769,78,24,2.429898664,
222,0.788786,76,26,2.067979656,
223,0.741013,82,20,2.103870156,
224,0.376341,80,22,2.123079784,
225,0.681936,86,16,1.890999896,
226,2.136249,86,16,1.953445654,
227,0.71184,90,12,1.567585728,
228,0.745025,89,13,1.172070952,
229,0.371601,87,15,1.040138903,
230,0.198381,85,17,0.923057701,
231,0.421925,78,24,1.029258988,
232,0.21078,85,17,1.442860046,
233,0.296843,89,13,1.434231058,
234,0.384,89,13,1.776269346,
235,0.310335,79,23,1.675011492,
236,0.377435,84,18,1.602626557,
237,0.237037,85,17,1.577058781,
238,0.459122,86,16,1.894859377,
239,0.155714,75,27,1.943521454,
240,0.172489,73,29,1.949281342,
241,0.250894,90,12,1.941733966,
242,0.467509,80,22,1.535067454,
243,0.524763,70,32,1.521737107,
244,0.22792,86,16,1.154897975,
245,0.864637,84,18,1.510490147,
246,0.299031,76,26,1.626676622,
247,0.468968,88,14,1.589879516,
248,0.231202,84,18,1.325928011,
249,0.122895,87,15,1.285235672,
250,0.809207,82,20,1.758838853,
251,0.398587,54,48,2.130817695,
252,0.281163,89,13,2.582672918,
253,0.341698,78,24,2.571404652,
254,0.146963,89,13,2.473694417,
255,0.323829,87,15,2.251884299,
256,0.37306,84,18,2.127322441,
257,0.168478,82,20,2.27164547,
258,0.136387,86,16,2.630399791,
259,0.384729,88,14,2.985331316,
260,0.361755,73,29,2.529682019,
261,0.318359,89,13,2.192160526,
262,0.288091,77,25,1.978426536,
263,0.529868,85,17,2.119820531,
264,0.873389,90,12,2.173219145,
265,0.634165,87,15,2.103347529,
266,1.069948,86,16,2.178305094,
267,0.70564,25,28,2.144068454,
268,0.326381,78,24,1.717731415,
269,0.369413,81,21,1.384926983,
270,1.038221,84,18,1.752448758,
271,0.783316,88,14,1.711969911,
272,0.615202,91,11,1.516469891,
273,0.367225,86,16,1.377931894,
274,0.409891,81,21,1.371612181,
275,0.407338,84,18,1.744474275,
276,0.255635,79,23,1.977670392,
277,0.250895,87,15,1.880890597,
278,0.653128,72,30,2.241390633,
279,0.384729,82,20,2.212826617,
280,0.416456,88,14,2.146958528,
281,0.50106,91,11,2.201433575,
282,0.464956,84,18,2.189604733,
283,0.225003,90,12,2.205854237,
284,0.187077,84,18,2.198242632,
285,0.351179,87,15,1.797534747,
286,0.258188,80,22,1.583423419,
287,0.142222,88,14,1.545956971,
288,0.275328,89,13,1.233193771,
289,0.223544,87,15,1.545688544,
290,0.327476,85,17,1.401764332,
291,0.518564,88,14,1.232698077,
292,0.259646,86,16,1.600100114,
293,0.551019,89,13,1.75501196,
294,1.196124,85,17,1.734234783,
295,0.684854,89,13,1.839894215,
296,0.386188,89,13,1.938035745,
297,1.158198,85,17,2.251916639,
298,0.410256,85,17,2.3150471,
299,0.289915,88,14,2.438814733,
300,0.324193,86,16,2.278371271,
301,0.664433,68,34,2.614643115,
302,0.7618,88,14,2.227570458,
303,0.31143,38,15,2.059287315,
304,0.215886,90,12,2.054533248,
305,0.427761,89,13,1.943397307,
306,0.515281,86,16,1.900908448,
307,0.330393,91,11,1.650091562,
308,0.312159,88,14,1.751686764,
309,0.2622,87,15,1.324555708,
310,0.218803,87,15,1.771817267,
311,0.397128,91,11,1.835491273,
312,0.213698,88,14,2.035519924,
313,0.367589,87,15,2.400809843,
314,0.353732,75,27,2.697209252,
315,0.154621,88,14,2.94061275,
316,0.293925,80,22,3.15808072,
317,0.107943,85,17,3.163924811,
318,0.528774,85,17,3.253284435,
319,0.303772,89,13,3.22486774,
320,0.275692,86,16,2.76911875,
321,0.351908,78,24,2.690864797,
322,0.424843,86,16,2.65984549,
323,0.412444,81,21,2.311391117,
324,0.401139,90,12,2.356727513,
325,0.285173,85,17,2.198268461,
326,0.233025,87,15,1.854323202,
327,0.710016,90,12,2.038954521,
328,0.660056,84,18,1.9926326,
329,0.226826,71,31,2.045142099,
330,0.140764,88,14,2.070458187,
331,0.320911,84,18,1.839854038,
332,0.296114,87,15,1.893529611,
333,0.358108,80,22,1.901050739,
334,0.188535,87,15,1.688672846,
335,0.180148,86,16,1.617497355,
336,0.347897,80,22,1.60670033,
337,0.343521,40,13,1.556715554,
338,0.265481,34,19,1.329939672,
339,0.459487,58,44,1.772583334,
340,1.044785,71,31,1.965100342,
341,0.451829,91,11,2.177733358,
342,0.334405,80,22,2.104447667,
343,0.334405,84,18,2.097912587,
344,0.219533,79,23,1.944490253,
345,0.772741,85,17,1.950503045,
346,0.764352,89,13,1.949306033,
347,0.385823,89,13,1.982786835,
348,0.262564,88,14,2.295737209,
349,0.345345,85,17,1.812455585,
350,0.231202,78,24,1.587126866,
351,0.298301,85,17,1.297405745,
352,0.409527,83,19,1.151880264,
353,0.227191,85,17,1.234906795,
354,0.609731,84,18,1.264030639,
355,0.218438,87,15,1.426224723,
356,0.184889,83,19,1.42227177,
357,0.494131,85,17,1.284556386,
358,0.406245,84,18,1.339150187,
359,0.265116,78,24,1.575948542,
360,0.159361,74,28,1.593597008,
361,0.463498,75,27,1.806951695,
362,0.315442,90,12,1.848114434,
363,0.3716,87,15,2.035777098,
364,0.398222,79,23,2.288921434,
365,0.318359,89,13,2.109056658,
366,0.34972,82,20,2.269959271,
367,0.267305,82,20,2.183703745,
368,0.16155,82,20,1.782834069,
369,0.269128,88,14,1.907451146,
370,0.331487,87,15,2.190068609,
371,3.928977,83,19,2.270324169,
372,0.447818,89,13,2.319260198,
373,1.06703,88,14,2.515092556,
374,1.66181,82,20,2.450889825,
375,1.088546,89,13,2.446359389,
376,0.481731,91,11,2.726855362,
377,0.566701,84,18,2.755176984,
378,0.343156,75,27,2.757646578,
379,0.486473,86,16,2.571003491,
380,0.262199,85,17,2.346172976,
381,0.462769,90,12,2.440050842,
382,0.225368,85,17,2.428799692,
383,0.234484,84,18,1.932138005,
384,0.316535,87,15,1.984508434,
385,0.446359,82,20,2.129073005,
386,0.397493,87,15,1.677532173,
387,0.244695,87,15,1.803338799,
388,0.565607,86,16,2.124831589,
389,0.818324,83,19,2.190021962,
390,1.046973,90,12,2.149266697,
391,1.655246,81,21,1.766969109,
392,1.178256,86,16,1.672736262,
393,0.895999,85,17,2.002566807,
394,0.578734,82,20,1.812779501,
395,0.312888,85,17,1.663395593,
396,0.38327,87,15,1.765580101,
397,0.340969,85,17,1.890467066,
398,0.366496,86,16,1.590805024,
399,0.780763,88,14,1.321991508,
400,0.189265,82,20,1.677316715,
401,0.152068,81,21,2.186229504,
402,0.376342,84,18,2.219041171,
403,0.1951,86,16,1.889230851,
404,0.369413,80,22,1.862697676,
405,0.441618,89,13,1.871161802,
406,0.312524,80,22,1.856049201,
407,0.457663,87,15,1.633378614,
408,0.247977,87,15,1.594346535,
409,0.144775,86,16,1.610273784,
410,0.502883,80,22,1.257479957,
411,0.180512,87,15,0.741499584,
412,0.359931,27,26,0.983550579,
413,0.169208,72,30,1.01603274,
414,0.269128,84,18,1.421912028,
415,0.350814,88,14,1.735509633,
416,0.479179,89,13,1.648697947,
417,0.390199,82,20,1.655834632,
418,0.17796,89,13,1.826161633,
419,0.326017,90,12,2.237557413,
420,0.281162,89,13,2.552771823,
421,0.277516,86,16,2.60106017,
422,0.388741,88,14,2.350372715,
423,0.600979,86,16,2.54317813,
424,0.507259,85,17,2.105008034,
425,0.720227,86,16,1.777446758,
426,0.383635,75,27,1.849466242,
427,0.154256,86,16,1.77060761,
428,0.429219,86,16,1.693408999,
429,0.130917,86,16,1.338967841,
430,0.191453,77,25,1.46121051,
431,0.217709,58,44,1.441833022,
432,0.243965,82,20,1.881854768,
433,0.664797,86,16,1.705895128,
434,0.642553,90,12,2.061940978,
435,0.638906,80,22,2.089191428,
436,0.1889,83,19,2.017726615,
437,0.284445,87,15,2.03827971,
438,0.432501,87,15,1.971016191,
439,0.268034,81,21,2.086550067,
440,0.837287,85,17,1.970833932,
441,0.651304,88,14,1.997849471,
442,0.681207,-20,24,1.555932595,
443,0.278609,85,17,1.632364722,
444,0.386917,86,16,1.317674227,
445,0.405515,81,21,1.290939153,
446,0.416091,82,20,1.635215265,
447,0.680478,82,20,2.079041066,
448,0.327476,37,16,2.073713902,
449,0.17723,84,18,1.903020593,
450,0.483555,89,13,1.816505295,
451,0.404786,84,18,1.764456243,
452,0.432136,87,15,2.088942963,
453,0.591133,91,11,1.999093621,
454,0.205675,85,17,2.039890385,
455,0.172855,82,20,2.405780709,
456,0.29976,85,17,2.073157089,
457,0.214063,84,18,1.621956251,
458,0.678655,81,21,1.924745973,
459,0.276786,85,17,1.936600851,
460,0.417915,87,15,1.672162427,
461,0.261105,90,12,1.684874366,
462,0.312524,73,29,1.35727441,
463,0.331122,91,11,1.345767934,
464,0.412444,83,19,1.567409362,
465,0.763988,79,23,1.305287817,
466,1.071771,79,23,1.650340593,
467,0.947053,89,13,1.662208707,
468,1.100216,28,25,1.79497917,
469,0.355555,84,18,1.790554803,
470,0.431042,91,11,2.20122517,
471,0.726791,88,14,2.292515424,
472,0.275692,80,22,2.292007243,
473,0.566335,-67,22,2.450653622,
474,0.362849,87,15,2.223300887,
475,0.442347,88,14,2.485541275,
476,0.221356,80,22,2.110230843,
477,0.45511,86,16,2.1171628,
478,0.22172,86,16,1.676776167,
479,0.263658,86,16,2.130724423,
480,0.949606,91,11,2.06879876,
481,0.208593,87,15,2.002021942,
482,0.261834,88,14,2.038876113,
483,0.174678,82,20,1.849790937,
484,0.302313,82,20,1.817602197,
485,0.174678,85,17,1.441640224,
486,0.201299,73,29,1.490637056,
487,0.37233,83,19,1.479569223,
488,0.418279,81,21,1.506757518,
489,0.307784,77,25,1.354333967,
490,0.300125,80,22,1.02577948,
491,0.419373,91,11,1.302600307,
492,0.563053,88,14,1.394133699,
493,0.183795,76,26,1.487829582,
494,0.435054,91,11,1.618388039,
495,0.94523,75,27,2.081247228,
496,0.212604,82,20,2.064288917,
497,0.315076,82,20,2.152376741,
498,0.426302,89,13,2.232560889,
499,0.146963,85,17,1.971333901,
500,0.341698,82,20,1.976304693,
501,0.372695,87,15,1.761262976,
502,0.396399,89,13,1.684720765,
503,0.646199,86,16,1.666030126,
504,0.441253,81,21,1.500658641,
505,0.334039,87,15,1.06567585,
506,0.383635,89,13,1.064744212,
507,0.250165,76,26,0.983573102,
508,0.280433,75,27,1.19869152,
509,0.382905,71,31,1.295664847,
510,0.298301,86,16,1.283227753,
511,0.27715,87,15,1.294709044,
512,0.246154,74,28,1.251066464,
513,0.544091,85,17,1.343493172,
514,0.219168,76,26,1.438389971,
515,0.280798,88,14,1.784332661,
516,0.375612,76,26,1.787401115,
517,0.230473,87,15,1.794510843,
518,0.312889,88,14,1.912849913,
519,0.315077,84,18,1.772494591,
520,0.715487,88,14,1.863407238,
521,0.498142,36,17,2.008291714,
522,0.245059,86,16,1.992489743,
523,0.363578,86,16,1.835829877,
524,0.20531,84,18,1.746956372,
525,0.199111,79,23,1.555920391,
526,0.141128,85,17,1.607888608,
527,0.147328,73,29,1.715727002,
528,0.134929,78,24,1.253323148,
529,0.286632,80,22,1.51931054,
530,0.186348,84,18,1.427905673,
531,0.360296,82,20,1.371077817,
532,1.304067,90,12,1.445477856,
533,0.630518,90,12,1.461165029,
534,0.204581,87,15,1.437471426,
535,0.603532,80,22,1.287538931,
536,0.681937,90,12,1.257660475,
537,0.369778,74,28,1.514516929,
538,0.308513,87,15,1.554607077,
539,0.831453,87,15,1.388552008,
540,0.664432,87,15,1.383511546,
541,0.998837,82,20,1.380803813,
542,0.444171,85,17,1.319404014,
543,0.46131,82,20,1.367895889,
544,0.194006,83,19,1.385598731,
545,0.42229,83,19,1.383733686,
546,0.720956,91,11,1.736670756,
547,1.270882,90,12,1.64526528,
548,1.028375,87,15,1.601131326,
549,0.322735,-120,26,1.492356174,
550,0.787327,89,13,1.649374167,
551,2.364898,88,14,1.718014744,
552,0.208957,90,12,1.684128851,
553,0.433596,89,13,1.659233311,
554,0.765446,80,22,1.659683029,
555,0.185253,84,18,2.097530193,
556,0.286996,79,23,1.714711777,
557,0.282256,90,12,1.432526556,
558,0.132011,82,20,1.441081098,
559,0.249436,81,21,1.456299488,
560,0.179054,79,23,1.296083903,
561,0.675738,86,16,1.031754866,
562,0.54555,80,22,1.49214868,
563,0.365402,85,17,1.696024508,
564,0.274234,87,15,2.261321127,
565,0.433231,88,14,1.857774711,
566,0.295385,84,18,1.85625229,
567,0.435418,90,12,1.89118918,
568,0.369048,84,18,1.918186426,
569,0.492307,77,25,2.407767899,
570,0.397493,85,17,2.466606794,
571,0.297208,88,14,2.461415999,
572,0.174313,88,14,2.066291977,
573,0.509082,78,24,1.837786106,
574,0.868284,86,16,1.272004143,
575,0.13894,81,21,1.221930204,
576,0.490848,76,26,1.237035888,
577,0.387282,78,24,1.195493468,
578,0.432866,87,15,1.309040334,
579,0.315076,83,19,0.81909038,
580,0.476626,85,17,0.74618815,
581,0.208957,63,39,1.167031119,
582,0.230472,83,19,1.101870654,
583,0.259281,84,18,1.093396654,
584,0.436148,79,23,1.203756861,
585,0.571806,86,16,1.202211021,
586,0.336228,81,21,1.20175069,
587,0.35045,87,15,1.589853113,
588,0.164467,90,12,1.515521394,
589,0.126541,86,16,1.539600505,
590,0.220992,86,16,1.809181054,
591,0.403328,77,25,1.856022239,
592,0.521481,87,15,1.938915849,
593,0.732626,79,23,2.406670713,
594,0.575818,86,16,2.328257175,
595,0.347533,84,18,2.716822327,
596,0.369413,91,11,2.703456509,
